						
	Accessible in game	True Pacifist	Not accessible	TODO		
	Accessible after resets	Genocide	Tests and errors			
	Neutral Not Pacifist	Hard Mode	Variable names			
						
Text			Character	Area	Room	How to get it ?
prototype						
@@array@@						
arguments						
Greetings.						
demona						
You have made yourself completely clear.						
demonb						
Understood.						
demonc						
I, your humble servant, will follow you to the utmost...						
demond						
argument0						
\XLa, la.^3 &Time to wake&up and\R smell\X &the^4 pain./					TESTROOM	
msg						
* Though^2.^4.^6.^8.&It's still a&little shaky./					TESTROOM	
fhuehfuehfuehfuheufhe/%					TESTROOM	
%%%					TESTROOM	
* TestMonster and its cohorts&draw near!			Narrator		TESTROOM	
 			Menu		room_battle	
monster						
monsterinstance						
script_execute						
adder						
\W 			Menu		room_battle	
mercy						
flag						
\Y 			Menu		room_battle	
\p 			Menu		room_battle	
  * 			Menu		room_battle	
monstername						
monstertype						
 A			Menu		room_battle	
\W &			Menu		room_battle	
\Y			Menu		room_battle	
\p			Menu		room_battle	
   * 			Menu		room_battle	
 B			Menu		room_battle	
 C			Menu		room_battle	
i						
  * Spare			Menu		room_battle	
& \W  * Flee			Menu		room_battle	
itemnameb						
     			Menu		room_battle	
item						
* 			Menu		room_battle	
 &			Menu		room_battle	
 &                     PAGE 1			Menu		room_battle	
 &                     PAGE 2			Menu		room_battle	
* You recovered 			Narrator		room_battle	
string						
 HP!/%			Narrator		room_battle	
* Your HP was maxed out./%			Narrator		room_battle	
random						
round						
* You bid a quiet farewell&  to the 			Narrator			
menucoord						
itemname						
.			Narrator			
* You put the 			Narrator			
&  on the ground and gave it a&  little pat.			Narrator			
* You threw the 			Narrator			
&  on the ground like the piece&  of trash it is.			Narrator			
* You abandoned the &  			Narrator			
* The 			Narrator			
 was&  thrown away.			Narrator			
/%			Narrator			
   * I'm outta here.			Frisk		room_battle	
   * I've got better to do.			Frisk		room_battle	
   * Escaped...			Frisk		room_battle	
   * Don't slow me down.			Frisk		room_battle	
xpreward						
goldreward						
   * Ran away with 			Narrator		room_battle	
 EXP&     and 			Narrator		room_battle	
 GOLD.			Narrator		room_battle	
room						
* (The shadow of the ruins&  looms above^1, filling you with&  determination.)/			Narrator	Ruins	room_ruins1	
